Station|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble Grands Boulevards|Grenoble Grands Boulevards|Grenoble Grands Boulevards
févr-07|44|20|20|34|51|45|16|43|2,7|-|-|-|-|-|-|66|-|85|47|37|17,4|-|1|-|2,1|1,12|1,51|2,21|1,25|0,88|0,4|4,3|-|-|0,08|42|10|1,3|1,68|3|-|-|28|5,3|1,3|17|37|29|16,4|-|5,9|-|102,2|66|75|59
mars-07|27|5|51|29|35|14|39|34|1,6|-|-|-|-|-|-|57|-|52|39|29|7,4|-|0,7|-|1,5|0,15|0,26|0,44|0,18|0,16|0,2|4|-|-|0,03|27|4|0,9|0,34|2,1|-|-|7|3,2|0,8|46|28|24|9,8|-|3,9|-|36,4|57|36|42
avr-07|25|4|73|33|29|6|60|33|1,2|-|-|-|-|-|-|59|-|41|49|34|7,2|-|0,7|-|0,8|-|-|-|-|-|0,3|3,9|-|-|-|24|4|0,7|-|1,7|-|-|4|3,6|0,7|66|30|23|10,4|-|4|-|79,1|54|24|47
mai-07|18|2|62|21|19|2|53|22|0,9|-|-|-|-|-|-|51|-|44|34|24|5,3|-|0,4|-|0,7|0,03|0,05|0,14|0,06|0,05|0,3|2,9|-|-|0,01|18|1|0,7|0,1|1,6|-|-|2|2,8|0,7|56|20|15|7,7|-|2,9|-|51,6|45|24|33
juin-07|16|3|63|19|17|2|56|18|0,7|-|-|-|-|-|-|52|-|44|28|20|4,7|-|0,4|-|0,6|0,02|0,04|0,12|0,03|0,04|0,2|3,5|-|-|0,01|17|1|0,6|0,09|1,3|-|-|2|3,2|0,5|56|16|12|9,4|-|2,9|-|79,3|47|26|30
juil-07|13|3|65|19|18|2|59|18|0,8|-|-|-|-|-|-|51|-|44|28|18|8,2|-|0,6|-|0,5|0,05|0,08|0,15|0,09|0,05|0,2|3|-|-|0,02|16|1|0,6|0,14|1,5|-|-|1|2,4|0,6|60|16|12|9,8|-|3|-|62,6|42|22|27
août-07|13|2|56|21|15|2|51|17|0,8|-|-|-|-|-|-|46|-|38|29|20|6,2|-|0,4|-|0,5|0,03|0,06|0,17|0,04|0,05|0,1|3,2|-|-|0,02|16|1|0,6|0,11|1,3|-|-|2|2,6|0,5|53|20|15|7,5|-|3|-|27,3|37|19|32
sept-07|19|5|46|23|24|6|37|24|1|-|-|-|-|-|-|55|-|55|39|23|7,4|-|0,4|-|0,7|0,06|0,08|0,17|0,07|0,05|0,2|3,6|-|-|0,02|21|1|0,7|0,12|1,7|-|-|5|2,5|0,7|41|21|15|9,5|-|3,5|-|45,6|47|36|34
oct-07|27|11|23|33|32|22|15|37|1,6|-|-|-|-|-|-|55|-|70|49|35|10,8|-|0,8|-|1,5|0,3|0,48|0,74|0,27|0,26|0,4|4|-|-|0,08|26|2|1,1|0,54|2,7|-|-|14|2,7|1,1|16|33|28|14,5|-|5,5|-|69,6|50|53|54
nov-07|32|18|20|29|33|26|16|32|2|-|-|-|-|-|-|56|-|77|44|34|8,5|-|0,9|-|1,8|0,53|0,8|1,56|0,73|0,55|0,5|4,3|-|-|0,18|27|5|0,9|0,87|2|-|-|17|2,5|0,8|16|30|25|15,3|-|4,3|-|93,4|52|63|50
déc-07|40|29|13|41|42|44|11|42|2,8|-|-|-|-|-|-|68|-|92|59|53|11,6|-|1,3|-|2,7|1,04|1,12|1,87|2,18|0,71|0,9|7,1|-|-|0,13|35|6|1,1|1,25|2,6|-|-|33|5,5|1|9|43|39|20,7|-|5,9|-|164|65|91|62
janv-08|48|30|15|32|48|53|13|39|2,7|-|-|-|-|-|-|69|-|106|56|43|13,2|6|1,2|39,8|-|1,28|1,5|2,01|1,86|0,82|0,7|5,8|0,6|30,8|0,12|37|7|-|1,33|-|22,7|0,1|35|4,8|-|11|36|31|27,3|0,1|-|3,4|130,4|67|87|61
